Date,Open,High,Low,Close,Adj Close,Volume
2014-08-01,190.5,191.5,188.860001,189.149994,169.386749,5181100
2014-08-04,189.350006,189.949997,188.600006,189.639999,169.825577,2125900
2014-08-05,188.75,189.199997,186.440002,187.100006,167.550919,3307900
2014-08-06,185.360001,186.880005,184.440002,185.970001,167.523911,3847000
2014-08-07,186.639999,186.679993,183.580002,184.300003,166.019592,2708600
2014-08-08,184.399994,186.669998,183.580002,186.630005,168.118469,2781500
2014-08-11,187.809998,188.360001,186.279999,187.470001,168.875122,2527200
2014-08-12,187.449997,188.690002,186.809998,187.33999599999999,168.758026,1858600
2014-08-13,188.0,188.479996,187.369995,187.949997,169.307526,1795000
2014-08-14,187.570007,188.169998,186.929993,187.880005,169.244461,1929500
2014-08-15,187.850006,188.880005,186.78999299999998,187.380005,168.794098,2814800
2014-08-18,188.100006,189.809998,187.759995,189.360001,170.577667,2420300
2014-08-19,190.03999299999998,190.25,189.360001,190.070007,171.217255,2040100
2014-08-20,189.860001,190.389999,189.25,190.100006,171.244293,2177600
2014-08-21,190.899994,192.070007,190.5,191.229996,172.262192,2496500
2014-08-22,190.770004,191.880005,190.28999299999998,190.41000400000001,171.523529,1940300
2014-08-25,191.389999,191.809998,190.71000700000002,191.16000400000001,172.199142,1723600
2014-08-26,191.020004,193.529999,191.020004,192.990005,173.84759499999998,3175400
2014-08-27,193.029999,194.130005,191.559998,192.25,173.181,2190200
2014-08-28,191.470001,192.300003,190.66000400000001,192.0,172.955811,1503600
2014-08-29,192.279999,192.75,191.139999,192.300003,173.22605900000002,2909400
2014-09-02,192.679993,192.970001,190.929993,191.559998,172.559464,2679700
2014-09-03,192.389999,192.949997,191.860001,191.949997,172.910782,1822800
2014-09-04,191.690002,192.690002,190.059998,190.679993,171.766754,2865000
2014-09-05,190.529999,191.75,190.08999599999999,191.199997,172.23513799999998,2260200
2014-09-08,190.75,191.199997,189.509995,190.139999,171.280304,2524200
2014-09-09,190.33999599999999,190.740005,189.779999,189.990005,171.145203,2403600
2014-09-10,190.119995,192.149994,190.100006,191.53999299999998,172.541412,2764000
2014-09-11,191.080002,192.779999,190.119995,191.720001,172.703583,2298500
